dataset,audio_id,audio_path,row_type,file_exists,readable_header,actual_sr,declared_sr,actual_channels,declared_channels,actual_duration_s,declared_duration_s,duration_delta_s,actual_subtype,declared_bit_depth,frames,file_size_bytes,sr_ok,channels_ok,duration_ok,bit_depth_ok,detail,passes
ICBHI,ICBHI_101_1b1_AL,audio/4_WelchAllyn Meditron Master Elite Electronic/101_URTI_AL_Meditron_1b1.wav,metadata,True,True,44100,44100,1,1,20.0,20.0,0.0,PCM_24,24,882000,2646044,True,True,True,True,,True
ICBHI,ICBHI_101_1b1_PR,audio/4_WelchAllyn Meditron Master Elite Electronic/101_URTI_PR_Meditron_1b1.wav,metadata,True,True,44100,44100,1,1,20.0,20.0,0.0,PCM_24,24,882000,2646044,True,True,True,True,,True
ICBHI,ICBHI_102_1b1_AR,audio/4_WelchAllyn Meditron Master Elite Electronic/102_Healthy_AR_Meditron_1b1.wav,metadata,True,True,44100,44100,1,1,20.0,20.0,0.0,PCM_16,16,882000,1764044,True,True,True,True,,True
ICBHI,ICBHI_103_2b2_AR,audio/2_3M Littmann Classic II SE/103_Asthma_AR_LittC2SE_2b2.wav,metadata,True,True,44100,44100,1,1,20.0,20.0,0.0,PCM_24,24,882000,2646044,True,True,True,True,,True
ICBHI,ICBHI_104_1b1_AL,audio/1_3M Littmann 3200 Electronic/104_COPD_AL_Litt3200_1b1.wav,metadata,True,True,4000,4000,1,1,15.856,15.856,0.0,PCM_16,16,63424,126892,True,True,True,True,,True
ICBHI,ICBHI_104_1b1_AR,audio/1_3M Littmann 3200 Electronic/104_COPD_AR_Litt3200_1b1.wav,metadata,True,True,4000,4000,1,1,25.584,25.584,0.0,PCM_16,16,102336,204716,True,True,True,True,,True
ICBHI,ICBHI_104_1b1_LL,audio/1_3M Littmann 3200 Electronic/104_COPD_LL_Litt3200_1b1.wav,metadata,True,True,4000,4000,1,1,18.48,18.48,0.0,PCM_16,16,73920,147884,True,True,True,True,,True
ICBHI,ICBHI_104_1b1_LR,audio/1_3M Littmann 3200 Electronic/104_COPD_LR_Litt3200_1b1.wav,metadata,True,True,4000,4000,1,1,15.024,15.024,0.0,PCM_16,16,60096,120236,True,True,True,True,,True
ICBHI,ICBHI_104_1b1_PL,audio/1_3M Littmann 3200 Electronic/104_COPD_PL_Litt3200_1b1.wav,metadata,True,True,4000,4000,1,1,22.96,22.96,0.0,PCM_16,16,91840,183724,True,True,True,True,,True
ICBHI,ICBHI_104_1b1_PR,audio/1_3M Littmann 3200 Electronic/104_COPD_PR_Litt3200_1b1.wav,metadata,True,True,4000,4000,1,1,23.728,23.728,0.0,PCM_16,16,94912,189868,True,True,True,True,,True
ICBHI,ICBHI_105_1b1_TC,audio/4_WelchAllyn Meditron Master Elite Electronic/105_URTI_TC_Meditron_1b1.wav,metadata,True,True,44100,44100,1,1,20.0,20.0,0.0,PCM_24,24,882000,2646044,True,True,True,True,,True
ICBHI,ICBHI_106_2b1_PL,audio/2_3M Littmann Classic II SE/106_COPD_PL_LittC2SE_2b1.wav,metadata,True,True,44100,44100,1,1,20.0,20.0,0.0,PCM_24,24,882000,2646044,True,True,True,True,,True
