source_sr,freq_hz,band,gain_db,ok
10000,50,passband,0.001,True
10000,100,passband,-0.0,True
10000,500,passband,-0.0,True
10000,1000,passband,-0.0002,True
10000,1600,passband,-0.0003,True
10000,1800,passband,-0.0038,True
10000,2050,stopband,-69.3936,True
10000,2200,stopband,-83.7564,True
10000,2500,stopband,-83.2262,True
44100,50,passband,0.0007,True
44100,100,passband,0.0,True
44100,500,passband,-0.0,True
44100,1000,passband,-0.0002,True
44100,1600,passband,-0.0003,True
44100,1800,passband,-0.0041,True
44100,2050,stopband,-69.6735,True
44100,2200,stopband,-82.8164,True
44100,2500,stopband,-82.1226,True
