audio_id,dataset,device,rms_post_bandpass,peak_post_bandpass
ICBHI_109_1b1_AL,ICBHI,Litt3200,0.026438921222265103,0.43053227388128573
ICBHI_109_1b1_AR,ICBHI,Litt3200,0.02516043199781227,0.4435993049707906
ICBHI_109_1b1_LL,ICBHI,Litt3200,0.02675636518835031,0.4181612669433373
ICBHI_109_1b1_LR,ICBHI,Litt3200,0.02495880501999226,0.5707302202716354
ICBHI_109_1b1_PL,ICBHI,Litt3200,0.033184797252613446,0.5550066455689491
ICBHI_109_1b1_PR,ICBHI,Litt3200,0.02864718540863412,0.6079225217251712
ICBHI_110_1b1_PR,ICBHI,Meditron,0.059030816982637305,1.3574008802364876
ICBHI_110_1p1_AL,ICBHI,Meditron,0.049727648681629634,0.6883802207822001
ICBHI_110_1p1_LL,ICBHI,Meditron,0.07342450251391529,1.2132061270535828
ICBHI_110_1p1_LR,ICBHI,Meditron,0.03704639781649271,0.5832125539114388
ICBHI_110_1p1_PR,ICBHI,Meditron,0.03693442665019961,1.3172686272262326
ICBHI_111_1b2_TC,ICBHI,Meditron,0.003756757132152551,0.0466815269712838
ICBHI_111_1b3_TC,ICBHI,Meditron,0.004048778981691524,0.02896612955582944
ICBHI_133_2p2_AL,ICBHI,AKGC417L,0.11748217727657673,0.7449938499941908
ICBHI_133_2p2_AR,ICBHI,AKGC417L,0.046338372063497245,0.23773455211548017
ICBHI_133_2p2_PL,ICBHI,AKGC417L,0.11929658483116896,0.7748977264864904
ICBHI_133_2p2_TC,ICBHI,AKGC417L,0.03451114785404044,0.8035300602279309
ICBHI_133_2p3_AL,ICBHI,AKGC417L,0.11651603377148621,0.76925851335355
ICBHI_133_2p3_AR,ICBHI,AKGC417L,0.04792988758693883,0.3230319946762648
ICBHI_133_2p3_PL,ICBHI,AKGC417L,0.11392774105457536,0.83267608795683
ICBHI_133_2p3_PR,ICBHI,AKGC417L,0.04369124389821767,0.28825192909691666
ICBHI_133_2p3_TC,ICBHI,AKGC417L,0.032349247614918024,0.7065593223516556
ICBHI_133_2p4_AL,ICBHI,AKGC417L,0.12875552588274333,0.821604213850536
ICBHI_133_2p4_AR,ICBHI,AKGC417L,0.054005135538104744,0.9442925678377053
ICBHI_133_2p4_PL,ICBHI,AKGC417L,0.12375758034682222,0.7810648006586115
ICBHI_133_2p4_PR,ICBHI,AKGC417L,0.04812193034013657,0.5950961654038662
ICBHI_133_2p4_TC,ICBHI,AKGC417L,0.03201267323597554,0.2644253863862047
ICBHI_133_3p2_AL,ICBHI,AKGC417L,0.13858593990667678,1.1646538582456
ICBHI_133_3p2_AR,ICBHI,AKGC417L,0.06755109040896133,0.5897159743972935
ICBHI_133_3p2_PL,ICBHI,AKGC417L,0.0448356696470537,1.1405356716847128
ICBHI_133_3p2_PR,ICBHI,AKGC417L,0.05348293097692865,1.2364940303366094
ICBHI_133_3p4_TC,ICBHI,AKGC417L,0.030663261502875547,0.39979925137782896
ICBHI_136_1b1_AR,ICBHI,Meditron,0.04356431103660494,0.3425836814694829
ICBHI_137_1b1_AR,ICBHI,Meditron,0.017215069575502145,0.12177024312079435
ICBHI_137_1b1_LL,ICBHI,Meditron,0.008976324562849095,0.1268681887698511
